participant_id,REC,LDI
1,0.26,0.173
10,0.273,0.093
11,0.3,0.2
12,0.147,0.187
13,0.253,0.2
14,0.193,0.107
15,0.293,0.28
16,0.347,0.153
17,0.3,0.133
18,0.297,0.19
19,0.287,0.18
2,0.227,0.133
20,0.28,0.207
21,0.22,0.16
22,0.247,0.06
23,0.26,0.2
24,0.24,0.067
25,0.28,0.14
26,0.293,0.253
27,0.273,0.147
28,0.36,0.133
29,0.153,0.22
3,0.207,0.047
30,0.28,0.173
31,0.367,0.227
32,0.207,0.18
33,0.2,0.047
34,0.307,0.127
35,0.227,0.16
36,0.333,0.12
37,0.34,0.26
38,0.247,0.247
39,0.287,0.287
4,0.267,0.18
40,0.227,0.16
41,0.287,0.2
42,0.167,0.233
43,0.147,0.147
44,0.207,0.107
45,0.32,0.28
46,0.353,0.08
47,0.267,0.207
48,0.32,0.08
49,0.187,0.14
5,0.307,0.167
50,0.3,0.213
51,0.287,0.113
52,0.187,0.113
53,0.18,0.18
54,0.147,0.133
6,0.307,0.193
8,0.3,0.2
9,0.247,0.153
